AirlineName,airlineCode,netIncome,avarageDelay,market,employee,fleetSize
American,AA,2.676,7.876433333333334,16.9,113300,948
Alaska,AS,0.2511,8.109077777777777,4.6,10239,313
JetBlue,B6,0.759,8.012633333333333,5.5,20000,228
Delta,DL,4.373,6.63868888888889,18.3,80000,852
Hawaiian,HA,0.2441,-0.7853499999999999,1.3,6130,51
United,UA,2.263,8.675944444444447,14.5,86000,738
Southwest,WN,2.200,5.33368888888889,19.1,53536,727
Pinnacle,9E,0.0419,5.33368888888889,0.7,7700,204
SkyWest,OO,0.103,5.464316666666666,2.3,12119,389
Expressjet,XE,0.0048,8.663733333333335,1.2,9000,235
Independence Air,DH,0.0961,6.467433333333333,0.8,2500,85
US Airways,US,2.200,5.549600000000001,3,32312,331
Frontier,F9,0.0109,5.3926750000000006,1.7,2200,65
